id,title,description,link,product_type,google_product_category,image_link,condition,availability,sale_price,price,mpn,brand,item_group_id
1594,"Cinto Ninho Strass - Grafite","Cinto Faixa com Strass, modelo fivela ninho.    <strong>Composição:</strong>  100% Strass  Forro:  85% PVC  15% Poliéster  Fivela:  100% Metal Zamac",https://www.folen.com.br/produto/cinto-ninho-strass-grafite/,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/Cinto_Ninho_Strass-Grafitte_1.png,new,"in stock",59.90BRL,"68.00 BRL",0.00,com,1594
1596,"Cinto Ninho Strass - Grafite - Único","Cinto Faixa com Strass, modelo fivela ninho.    <strong>Composição:</strong>  100% Strass  Forro:  85% PVC  15% Poliéster  Fivela:  100% Metal Zamac",https://www.folen.com.br/produto/cinto-ninho-strass-grafite/?attribute_pa_tamanho=unico,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/Cinto_Ninho_Strass-Grafitte_1.png,new,"in stock",59.90BRL,"68.00 BRL",0.00,com,1594
1588,"Cinto Strass - Preto","Cinto com Strass, com fivela.    <strong>Composição:</strong>  100% Stass  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-strass-preto/,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/Cinto_Strass-Preto-450x563_0002_Camada-15.png,new,"in stock",69.90BRL,"80.00 BRL",0.00,com,1588
1589,"Cinto Strass - Preto - Único","Cinto com Strass, com fivela.    <strong>Composição:</strong>  100% Stass  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-strass-preto/?attribute_pa_tamanho=unico,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/Cinto_Strass-Preto-450x563_0002_Camada-15.png,new,"in stock",69.90BRL,"80.00 BRL",0.00,com,1588
1583,"Cinto Ninho - Bege","Cinto, modelo fivela ninho.    <strong>Composição:</strong>  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-ninho-bege/,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/cinto-ninho-bege-450x563.png,new,"in stock",59.90BRL,"68.00 BRL",0.00,com,1583
1585,"Cinto Ninho - Bege - G","Cinto, modelo fivela ninho.    <strong>Composição:</strong>  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-ninho-bege/?attribute_pa_tamanho=g,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/cinto-ninho-bege-450x563.png,new,"in stock",59.90BRL,"68.00 BRL",0.00,com,1583
1584,"Cinto Ninho - Bege - M","Cinto, modelo fivela ninho.    <strong>Composição:</strong>  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-ninho-bege/?attribute_pa_tamanho=m,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/cinto-ninho-bege-450x563.png,new,"in stock",59.90BRL,"68.00 BRL",0.00,com,1583
1578,"Cinto Ninho - Preto","Cinto, modelo fivela ninho.    <strong>Composição:</strong>  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-ninho-preto/,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/cinto-ninho-preto-450x563_3.png,new,"in stock",59.90BRL,"68.00 BRL",0.00,com,1578
1579,"Cinto Ninho - Preto - M","Cinto, modelo fivela ninho.    <strong>Composição:</strong>  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-ninho-preto/?attribute_pa_tamanho=m,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/cinto-ninho-preto-450x563_3.png,new,"in stock",59.90BRL,"68.00 BRL",0.00,com,1578
1580,"Cinto Ninho - Preto - G","Cinto, modelo fivela ninho.    <strong>Composição:</strong>  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-ninho-preto/?attribute_pa_tamanho=g,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/cinto-ninho-preto-450x563_3.png,new,"in stock",59.90BRL,"68.00 BRL",0.00,com,1578
1570,"Cinto 2 Fivelas - Preto","Cinto 2 Fivelas.    <strong>Composição:</strong>  100% Sintético  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-2-fivelas-preto/,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/Cinto_2_Fivelas-Preto_2.png,new,"in stock",39.90BRL,"45.00 BRL",0.00,com,1570
1572,"Cinto 2 Fivelas - Preto - G","Cinto 2 Fivelas.    <strong>Composição:</strong>  100% Sintético  Forro:  100% Poliuretano  Fivela:  100% Metal",https://www.folen.com.br/produto/cinto-2-fivelas-preto/?attribute_pa_tamanho=g,ACESSÓRIOS>CINTO,ACESSÓRIOS>CINTO,https://www.folen.com.br/wp-content/uploads/2019/08/Cinto_2_Fivelas-Preto_2.png,new,"in stock",39.90BRL,"45.00 BRL",0.00,com,1570
